from_slug,to_slug,type,label,explanation,confidence,strength,directed,evidence_urls,last_checked,source,reviewer_note
alchemy,robinhood-chain-docs,partner_named,Alchemy × RH Chain,Alchemy announces Robinhood Chain mainnet is live on Alchemy.,high,strong,true,https://x.com/Alchemy/status/2072397155390882230|Alchemy X post|Alchemy announces Robinhood Chain is live on Alchemy,2026-07-16,partnerships,official-announcement
allium,robinhood-chain-docs,partner_named,Allium × RH Chain,Allium announces support for Robinhood Chain at launch.,high,strong,true,https://allium.so/blog/supporting-robinhood-chain-at-launch/|Allium blog|Allium announces Robinhood Chain data support at launch,2026-07-16,partnerships,official-announcement
arbitrum,robinhood-crypto,partner_named,Arbitrum × RH Chain,Arbitrum quotes Robinhood Crypto partner shout-out — RH Chain built on Arbitrum Orbit stack.,high,strong,true,https://x.com/arbitrum/status/2077081003164647933|Arbitrum X post|Arbitrum amplifies Robinhood Chain partner announcement,2026-07-16,partnerships,official-announcement
arcus,robinhood-crypto,partner_named,Arcus × RH Chain,Arcus profile and launch post position the DEX as built in partnership with Robinhood Crypto on Robinhood Chain.,high,strong,true,https://x.com/arcus_xyz/status/2072395169215959221|Arcus X post|Arcus announces leading DEX on Robinhood Chain,2026-07-16,partnerships,official-announcement
arcus,stock-tokens-official,product_integration,Partner announces RH integration,arcus publishes a partner announcement naming Robinhood Chain / stock-tokens-official integration.,high,strong,true,https://robinhood.com/rhj/stocktokens|Stock Tokens,2026-07-16,partnerships,
bitgo,robinhood-crypto,infra_dependency,Infrastructure dependency,"BitGo is linked to Robinhood Crypto as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page;https://docs.robinhood.com/chain/|Docs,2026-07-16,partnerships,
bitgo,robinhood-wallet,infra_dependency,Infrastructure dependency,"BitGo is linked to Robinhood Wallet as infrastructure the chain or apps rely on (RPC, oracle, L2 stack, bridge, or security). Infra presence is not an app safety review.",high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
blockaid,robinhood-crypto,partner_named,Blockaid × RH Chain,Blockaid names Robinhood Crypto in Robinhood Chain security partnership announcement.,high,strong,true,https://x.com/blockaid_/status/2072439547430908313|Blockaid X post|Blockaid names Robinhood Crypto in RH Chain partnership,2026-07-16,partnerships,official-announcement
blockaid,robinhood-wallet,partner_named,Partner announces RH integration,blockaid publishes a partner announcement naming Robinhood Chain / robinhood-wallet integration.,high,strong,true,https://robinhood.com/us/en/chain/|Chain page,2026-07-16,partnerships,
blockaid,robinhood-wallet,product_integration,Day-1 security partner,Blockaid announces day-1 Robinhood Chain security partnership and Wallet protection support.,high,strong,true,https://x.com/blockaid_/status/2072439547430908313|Blockaid X post|Blockaid announces Robinhood Chain security partnership,2026-07-16,partnerships,official-announcement
